id,date,pm25,tmp,rh,ws,wd
249,2017-09-06,12.470833333333331,17.141666666666666,72.825,1.8166666666666669,2.4780332629481916
250,2017-09-07,11.654166666666669,17.895833333333332,68.57083333333334,2.920833333333333,3.7569101577112423
251,2017-09-08,21.2125,19.754166666666663,56.09166666666667,1.9958333333333331,4.972797299524858
252,2017-09-09,15.245833333333332,19.854166666666668,57.05833333333334,2.983333333333333,4.665585487903467
253,2017-09-10,11.391666666666666,19.591666666666665,54.25416666666666,2.8083333333333336,5.239322348683251
254,2017-09-11,19.591666666666665,19.554166666666667,48.125,3.4875000000000003,5.223096651753521
255,2017-09-12,34.891666666666666,19.908333333333335,42.791666666666664,1.15,6.47756659730497
256,2017-09-13,35.37916666666667,20.929166666666667,51.92916666666667,1.4708333333333332,7.020619820444241
257,2017-09-14,33.1625,20.520833333333332,58.375,1.8875,6.448415832924153
258,2017-09-15,35.44166666666667,20.704166666666666,56.625,1.3041666666666667,7.254474182762317
259,2017-09-16,28.383333333333336,21.020833333333332,59.4375,1.9708333333333332,7.654569002943299
260,2017-09-17,23.566666666666663,19.45,63.708333333333336,1.5125,5.366145526984875
261,2017-09-18,26.120833333333337,19.479166666666668,63.6125,2.1374999999999997,5.6003861681102025
262,2017-09-19,26.675,19.895833333333332,61.4125,2.1875,6.242339679424493
263,2017-09-20,26.8,21.0125,60.3875,2.3375,7.010738000026127
264,2017-09-21,26.3625,18.833333333333332,68.39999999999999,1.7708333333333333,4.4465342141992785
265,2017-09-22,24.35,19.241666666666667,67.2,2.0208333333333335,4.912700038638882
266,2017-09-23,13.220833333333331,18.508333333333333,68.27499999999999,3.7458333333333336,4.530898261190502
267,2017-09-24,10.079166666666667,18.3625,65.56666666666666,3.8333333333333335,3.9478350824377286
268,2017-09-25,13.25,18.466666666666665,66.02916666666667,2.308333333333333,3.965909204326381
269,2017-09-26,21.72083333333333,19.379166666666663,62.675,1.4375,6.885649984139187
270,2017-09-27,29.791666666666668,20.0,62.075,1.7208333333333332,7.08767358978858
271,2017-09-28,24.4375,17.570833333333333,72.25,2.1999999999999997,4.073564851601539
272,2017-09-29,19.1625,18.720833333333335,63.95,3.141666666666667,5.319880287860815
273,2017-09-30,20.508333333333333,18.295833333333334,65.45416666666667,3.4625,5.2652258201258615
274,2017-10-01,17.929166666666667,17.391666666666666,69.75,2.3874999999999997,7.599635146008437
275,2017-10-02,20.091666666666665,17.962500000000002,69.575,2.3249999999999997,5.426961972080392
276,2017-10-03,15.758333333333333,18.879166666666663,60.54583333333333,3.8708333333333336,6.199965509352252
277,2017-10-04,16.537499999999998,19.208333333333332,59.28333333333333,3.829166666666667,5.344881436433231
278,2017-10-05,15.725,18.925,56.104166666666664,3.8125,5.9642561646159775
279,2017-10-06,22.958333333333332,20.333333333333332,55.21666666666667,2.6166666666666667,8.296145505438675
280,2017-10-07,20.7125,18.3125,68.26666666666667,2.3874999999999997,5.8342938210714275
281,2017-10-08,16.895833333333332,17.316666666666666,63.4,1.1875,5.513143241634147
282,2017-10-09,25.858333333333334,18.029166666666665,66.67083333333333,0.6083333333333333,5.069590505735127
283,2017-10-10,28.633333333333336,18.695833333333333,65.8125,2.8874999999999997,6.572556545940017
284,2017-10-11,17.708333333333332,18.729166666666668,56.47083333333333,4.18625,5.998361596532831
285,2017-10-12,19.204166666666666,18.175,51.63333333333333,3.6795833333333334,5.839548977212532
286,2017-10-13,23.791666666666668,18.445833333333333,56.12916666666666,3.0733333333333337,6.197103793027357
287,2017-10-14,25.304166666666664,18.645833333333332,52.208333333333336,3.38875,6.637471741987952
288,2017-10-15,34.84583333333333,20.075,52.40833333333333,2.2208333333333337,9.240387494059924
289,2017-10-16,15.516666666666666,19.204166666666666,47.43333333333334,2.2208333333333337,6.890224384898206
290,2017-10-17,19.3375,18.195833333333333,51.208333333333336,3.8766666666666665,6.53909614144825
291,2017-10-18,32.166666666666664,19.1125,48.55,2.815,7.79358090012023
292,2017-10-19,49.8375,19.808333333333337,51.025,1.9483333333333333,8.889974012217992
293,2017-10-20,33.38333333333333,20.229166666666668,54.19583333333333,2.5920833333333335,8.95283912208828
294,2017-10-21,39.77916666666667,19.8,52.916666666666664,2.0500000000000003,9.21185963477685
295,2017-10-22,28.733333333333334,20.291666666666668,44.39166666666667,2.49125,9.828038946936443
296,2017-10-23,28.53333333333333,19.225,43.37916666666666,4.1691666666666665,7.36970589488491
297,2017-10-24,24.1625,18.570833333333333,43.9,4.1691666666666665,6.860424851749407
298,2017-10-25,20.229166666666668,16.625,45.50833333333333,4.1691666666666665,4.502291828660753
299,2017-10-26,25.72083333333333,15.8875,40.795833333333334,2.6445833333333333,5.209834095331908
300,2017-10-27,36.225,17.845833333333335,45.01666666666667,0.5258333333333333,7.695538343122904
301,2017-10-28,50.725,17.962500000000002,45.92916666666667,1.1408333333333334,7.349306171974892
302,2017-10-29,34.333333333333336,18.9125,54.89166666666667,1.274166666666667,7.843320124801051
303,2017-10-30,31.854166666666668,18.220833333333335,56.82083333333333,1.143333333333333,6.850276592355131
304,2017-10-31,35.141666666666666,17.341666666666665,62.333333333333336,1.0858333333333332,5.128027391632792
305,2017-11-01,32.479166666666664,18.791666666666668,59.03333333333333,1.2604166666666667,7.385009537175269
306,2017-11-02,33.36666666666667,20.2,57.62916666666666,1.3929166666666666,9.076930787254472
307,2017-11-03,37.6875,21.55,53.49583333333334,1.2170833333333333,11.270067569609482
308,2017-11-04,36.44166666666667,21.55,50.07916666666667,2.130833333333334,10.82004330760524
309,2017-11-05,41.19583333333333,20.441666666666663,44.725,2.150416666666666,10.001081462517163
310,2017-11-06,57.2875,19.170833333333334,34.69166666666667,1.2954166666666669,9.852973307853595
311,2017-11-07,66.41666666666667,18.829166666666666,41.325,1.4358333333333333,9.7510382964635
312,2017-11-08,55.9875,18.591666666666665,35.083333333333336,1.4370833333333335,9.568599418446135
313,2017-11-09,56.75,18.833333333333332,52.17083333333333,1.39125,8.875677154227304
314,2017-11-10,44.5125,19.375,55.083333333333336,1.6283333333333332,8.047891650456654
315,2017-11-11,52.67083333333333,18.858333333333334,47.62083333333334,1.867916666666667,8.310463879154986
316,2017-11-12,36.94583333333333,18.608333333333334,38.233333333333334,3.375833333333333,7.50384432219288
317,2017-11-13,28.275,18.0625,40.11666666666667,4.022916666666666,6.791274335996334
318,2017-11-14,31.520833333333332,17.337500000000002,43.15833333333333,2.7229166666666664,6.28334673253219
319,2017-11-15,41.766666666666666,17.983333333333334,40.93333333333333,2.2808333333333333,7.615506128094385
320,2017-11-16,50.90416666666667,17.9375,35.40416666666667,1.78125,8.027478243393364
321,2017-11-17,63.8625,17.245833333333334,32.858333333333334,1.4666666666666666,8.101582184977095
322,2017-11-18,56.92916666666667,17.925,40.983333333333334,1.48625,8.965120367501505
323,2017-11-19,50.14166666666667,17.491666666666667,40.141666666666666,2.875833333333333,7.056399517923532
324,2017-11-20,39.96666666666667,17.3,45.42916666666667,2.3845833333333335,6.638854545822163
325,2017-11-21,34.670833333333334,16.820833333333333,46.55,2.1416666666666666,6.579267936193316
326,2017-11-22,41.25,16.1375,33.43333333333333,2.1804166666666664,5.819922118283021
327,2017-11-23,45.4,14.179166666666667,26.741666666666664,2.094583333333333,4.720613646995112
328,2017-11-24,53.25,14.283333333333331,30.254166666666663,1.6554166666666663,5.343714741870022
329,2017-11-25,66.76666666666667,15.0,37.391666666666666,0.965,6.514662010520373
